id,priority,status,role,title,deps,inputs,output,project_id,phase,workstream,exclusive_keys,size_class,quality_tier,risk_tier,wave_id,batch_hint,acceptance,compliance_profile,notes,min_capability_tier,context_class,tool_requirements,context_refs
TASK_INV_AUDIT_REPO_SNAPSHOT_01,1,READY,WORKER,Pin repository snapshot and build source/document inventory,,https://github.com/ZXYHtech/inventory;README.md;AGENTS.md;docs/应用开发索引.md,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_REPO_SNAPSHOT_01.md,INVENTORY_DEEP_AUDIT,BASELINE,repo_snapshot,INV:AUDIT:SNAPSHOT,M,ANALYSIS,LOW,W0,,"Record exact default-branch commit; enumerate source, docs, deploy, mobile and data-definition areas; identify source-of-truth files and stale/duplicate surfaces; produce a reproducible audit entry map.",SOFTWARE_ANALYSIS_V1,Read-only external repository inspection; do not modify inventory.,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_OSS_LANDSCAPE_01,2,READY,WORKER,Build current open-source inventory/ERP/WMS/electronics systems landscape,,public web;GitHub;project requirement outline,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_OSS_LANDSCAPE_01.md,INVENTORY_DEEP_AUDIT,BENCHMARK,oss_landscape,INV:AUDIT:OSS:LANDSCAPE,L,ANALYSIS,LOW,W0,,"Identify at least 12 actively maintained open-source candidates across ERP, WMS, electronics parts/BOM and commerce; capture license, activity, architecture, strongest use cases and relevance; cite current evidence.",SOFTWARE_ANALYSIS_V1,Research must use current sources at execution time.,4,L,web;git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_CAPABILITY_MAP_01,10,BLOCKED,WORKER,Create current capability and workflow matrix,TASK_INV_AUDIT_REPO_SNAPSHOT_01,inventory README;docs/应用开发索引.md;server.py;services.py;database.py;static/app.js,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_CAPABILITY_MAP_01.md,INVENTORY_DEEP_AUDIT,CURRENT_STATE,capability_map,INV:AUDIT:CAPABILITY,L,ANALYSIS,MEDIUM,W1,,"Map all implemented capabilities by actor, trigger, data object, state transition, API, UI and audit trail; distinguish implemented, partial, placeholder and documented-only functions.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_DATA_MODEL_01,11,BLOCKED,WORKER,"Audit database schema, entities, relationships and lifecycle states",TASK_INV_AUDIT_REPO_SNAPSHOT_01,inventory_app/database.py;deploy/postgres/schema.sql;services.py,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_DATA_MODEL_01.md,INVENTORY_DEEP_AUDIT,CURRENT_STATE,data_model,INV:AUDIT:DATA_MODEL,L,ANALYSIS,HIGH,W1,,"Produce ER-style entity inventory and lifecycle state map; identify integrity constraints, missing keys, duplicate concepts, migration risks, concurrency assumptions and SQLite/PostgreSQL drift.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_API_PERMISSION_01,12,BLOCKED,WORKER,"Audit API surface, authentication, authorization and warehouse data scope",TASK_INV_AUDIT_REPO_SNAPSHOT_01,inventory_app/server.py;database.py;services.py,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_API_PERMISSION_01.md,INVENTORY_DEEP_AUDIT,CURRENT_STATE,api_permission,INV:AUDIT:API_PERMISSION,XL,ANALYSIS,HIGH,W1,,"Inventory endpoints and required permissions; verify server-side enforcement, object-level warehouse scope, privilege escalation paths, error semantics and missing policy checks; provide evidence references.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_FRONTEND_UX_MAP_01,13,BLOCKED,WORKER,"Map PC, mobile and offline user journeys and interaction debt",TASK_INV_AUDIT_REPO_SNAPSHOT_01,inventory_app/static;mobile;mobile-offline;android-offline-app,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_FRONTEND_UX_MAP_01.md,INVENTORY_DEEP_AUDIT,CURRENT_STATE,ux_map,INV:AUDIT:UX_MAP,L,ANALYSIS,MEDIUM,W1,,"Map navigation, primary workflows, duplicated screens, inconsistent controls, mobile gaps, offline gaps and friction points for warehouse, procurement, sales and admin users.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_CODE_ARCHITECTURE_01,14,BLOCKED,ARCHITECT,"Audit source architecture, module boundaries and maintainability hotspots",TASK_INV_AUDIT_REPO_SNAPSHOT_01,inventory_app/server.py;services.py;database.py;recognition.py;ocr_queue.py,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_CODE_ARCHITECTURE_01.md,INVENTORY_DEEP_AUDIT,CURRENT_STATE,code_architecture,INV:AUDIT:ARCH,XL,ANALYSIS,HIGH,W1,,"Assess cohesion, coupling, oversized modules, transaction boundaries, error handling, domain separation, adapters, job isolation and refactoring seams; rank maintainability risks.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_DOC_TRUTH_01,15,BLOCKED,WORKER,Check documentation-to-code truth alignment,TASK_INV_AUDIT_REPO_SNAPSHOT_01,README.md;docs;inventory_app;deploy,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_DOC_TRUTH_01.md,INVENTORY_DEEP_AUDIT,CURRENT_STATE,doc_truth,INV:AUDIT:DOC_TRUTH,M,ANALYSIS,MEDIUM,W1,,"Compare documented features, workflows, deployment claims and status with current source; list stale, ambiguous or contradictory statements and the authoritative code location.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_STOCK_MODEL_01,20,BLOCKED,WORKER,Audit inventory quantity model and stock semantics,TASK_INV_AUDIT_CAPABILITY_MAP_01;TASK_INV_AUDIT_DATA_MODEL_01;TASK_INV_AUDIT_API_PERMISSION_01,InventoryService;inventory;inventory_logs;shipment and transfer rules,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_STOCK_MODEL_01.md,INVENTORY_DEEP_AUDIT,BUSINESS_CORE,stock_model,INV:AUDIT:STOCK,L,ANALYSIS,HIGH,W2,,"Evaluate on-hand, available, reserved, allocated, in-transit, damaged, quarantine, sample, engineering and virtual stock concepts; identify where current single-balance semantics can cause operational errors.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
TASK_INV_AUDIT_WAREHOUSE_LOCATION_01,21,BLOCKED,WORKER,"Audit multi-warehouse, bin, shelf and physical inventory capabilities",TASK_INV_AUDIT_CAPABILITY_MAP_01;TASK_INV_AUDIT_DATA_MODEL_01;TASK_INV_AUDIT_API_PERMISSION_01,warehouses;warehouse_locations;warehouse_layout_items;inventory,projects/INVENTORY_DEEP_AUDIT/output/TASK_INV_AUDIT_WAREHOUSE_LOCATION_01.md,INVENTORY_DEEP_AUDIT,BUSINESS_CORE,warehouse_location,INV:AUDIT:WAREHOUSE,L,ANALYSIS,MEDIUM,W2,,"Assess warehouse hierarchy, bin capacity, putaway, picking, cycle count, stocktake, move, merge, barcode/QR and location accuracy; define gaps and upgrade path.",SOFTWARE_ANALYSIS_V1,,3,M,git,projects/INVENTORY_DEEP_AUDIT/REQUIREMENTS_AND_TASK_PLAN.md;https://github.com/ZXYHtech/inventory
