id,priority,status,role,title,deps,inputs,output,project_id,phase,workstream,exclusive_keys,size_class,quality_tier,risk_tier,wave_id,batch_hint,acceptance,compliance_profile,notes,min_capability_tier,context_class,tool_requirements,context_refs
TASK_INV_IMPL_E00_S01,1,READY,ARCHITECT,"Add schema version and numbered immutable migration runner",,"inventory database.py; audit E00",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E00_S01.md,INVENTORY_EVOLUTION,FOUNDATION,migrations,INV:IMPL:SCHEMA,L,IMPLEMENTATION,HIGH,I0,,"Current schema is adopted non-destructively as a verified baseline; schema_migrations records version; rerun is no-op; local tests prove behavior.",SOFTWARE_IMPLEMENTATION_V1,"External code branch impl/e00-release-safety",4,M,git,"audit PR #1; ZXYHtech/inventory@78d5cda"
TASK_INV_IMPL_E00_S02,2,BLOCKED,WORKER,"Create representative old-database migration fixtures",TASK_INV_IMPL_E00_S01,"schema history; migrate()",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E00_S02.md,INVENTORY_EVOLUTION,FOUNDATION,migrations,INV:IMPL:SCHEMA,M,IMPLEMENTATION,MEDIUM,I0,,"Fixtures cover representative prior schema eras and upgrade deterministically to current baseline.",SOFTWARE_IMPLEMENTATION_V1,,3,M,git,"audit E00; inventory history"
TASK_INV_IMPL_E00_S03,3,BLOCKED,REVIEWER,"Add migration integrity and orphan checks",TASK_INV_IMPL_E00_S01,"database relations; migration runner",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E00_S03.md,INVENTORY_EVOLUTION,FOUNDATION,data_integrity,INV:IMPL:INTEGRITY,M,IMPLEMENTATION,HIGH,I0,,"Pre/post checks detect corrupt DB, required-object gaps and actionable orphan conditions without destructive repair.",SOFTWARE_IMPLEMENTATION_V1,,3,M,git,"audit DATA_MODEL; E00"
TASK_INV_IMPL_E00_S04,4,BLOCKED,WORKER,"Create local verify_release command",TASK_INV_IMPL_E00_S02;TASK_INV_IMPL_E00_S03,"existing tools/tests; migration checks",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E00_S04.md,INVENTORY_EVOLUTION,FOUNDATION,release_gate,INV:IMPL:RELEASE,L,IMPLEMENTATION,HIGH,I0,,"One repository-local command runs deterministic authoritative release checks without GitHub Actions.",SOFTWARE_IMPLEMENTATION_V1,,3,M,git,"audit TESTING_OBSERVABILITY; E00"
TASK_INV_IMPL_E00_S05,5,BLOCKED,WORKER,"Create isolated backup restore verification",TASK_INV_IMPL_E00_S01,"BackupService; backup tests",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E00_S05.md,INVENTORY_EVOLUTION,FOUNDATION,recovery,INV:IMPL:RECOVERY,L,IMPLEMENTATION,HIGH,I0,,"Backup restores to temporary DB, passes integrity/schema checks and application smoke checks without touching live DB.",SOFTWARE_IMPLEMENTATION_V1,,3,M,git,"audit RELIABILITY_DR; IMPORT_EXPORT_BACKUP"
TASK_INV_IMPL_E00_S06,6,BLOCKED,WORKER,"Add full backup manifest and checksums",TASK_INV_IMPL_E00_S05,"DB; attachments; config metadata",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E00_S06.md,INVENTORY_EVOLUTION,FOUNDATION,recovery,INV:IMPL:BACKUP_MANIFEST,M,IMPLEMENTATION,HIGH,I0,,"Backup package/manifest identifies required state, versions, sizes and cryptographic checksums.",SOFTWARE_IMPLEMENTATION_V1,,3,M,git,"audit RELIABILITY_DR"
TASK_INV_IMPL_E00_S07,7,BLOCKED,WORKER,"Add off-host backup copy hook and health record",TASK_INV_IMPL_E00_S06,"backup manifest; server scheduler",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E00_S07.md,INVENTORY_EVOLUTION,FOUNDATION,recovery,INV:IMPL:BACKUP_OFFHOST,M,IMPLEMENTATION,HIGH,I0,,"Server-local command can copy verified backup outside primary failure domain and record success/failure; no GitHub scheduler.",SOFTWARE_IMPLEMENTATION_V1,,3,M,git,"NO_GITHUB_ACTIONS_POLICY.md"
TASK_INV_IMPL_E01,10,BLOCKED,ARCHITECT,"Core modularization, action policy and durable jobs",TASK_INV_IMPL_E00_S04;TASK_INV_IMPL_E00_S07,"audit E01 backlog",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E01.md,INVENTORY_EVOLUTION,PLATFORM,core_jobs,INV:IMPL:E01,XL,IMPLEMENTATION,HIGH,I1,,"Action registry, idempotency, generic durable jobs/outbox and first module extraction are implemented with local tests.",SOFTWARE_IMPLEMENTATION_V1,,4,L,git,"audit IMPLEMENTATION_BACKLOG E01"
TASK_INV_IMPL_E02,20,BLOCKED,ARCHITECT,"Stock position, movement ledger and reservation kernel",TASK_INV_IMPL_E01,"audit E02; stock model",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E02.md,INVENTORY_EVOLUTION,INVENTORY,stock_kernel,INV:IMPL:E02,XL,IMPLEMENTATION,CRITICAL,I2,,"Physical stock, reservation and ATP are explainable from durable records and proven under retry/concurrency.",SOFTWARE_IMPLEMENTATION_V1,,4,L,git,"audit STOCK_MODEL; E02"
TASK_INV_IMPL_E03,30,BLOCKED,WORKER,"Warehouse locations, receiving, putaway, scan and count",TASK_INV_IMPL_E02,"audit E03; WMS benchmark",projects/INVENTORY_EVOLUTION/output/TASK_INV_IMPL_E03.md,INVENTORY_EVOLUTION,WAREHOUSE,wms_execution,INV:IMPL:E03,XL,IMPLEMENTATION,HIGH,I3,,"Representative warehouse flows prove source/destination bin, scanned identity, quantity and controlled reconciliation.",SOFTWARE_IMPLEMENTATION_V1,,4,L,git,"audit WAREHOUSE_LOCATION; OSS_WMS"
