id,priority,status,role,title,deps,inputs,output,project_id,phase,workstream,exclusive_keys,size_class,quality_tier,risk_tier,wave_id,batch_hint,acceptance,compliance_profile,notes,min_capability_tier,context_class,tool_requirements,context_refs
TASK_TRAVEL_GUIDE_INTAKE_01,1,READY,ARCHITECT,Formalize public requirements and encrypted private context,,orchestration/projects/TRAVEL_GUIDE/PROJECT.yaml;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,TRAVEL_GUIDE,PLAN,travel_intake,PROJECT:TRAVEL_GUIDE_INTAKE,S,REVIEW,MEDIUM,TG_W1,,Create public requirements excluding exact origin/date and relationship/private-chat/gift details; confirm five schemes; one-day rail trip; budget constraint; deliverables; <=50 tasks; never copy private context to plaintext repo artifacts,TRAVEL_PLANNING_PRIVACY_V1,First warmup result must be shown in chat before new claim,3,M,web,orchestration/projects/TRAVEL_GUIDE/PROJECT.yaml;projects/TRAVEL_GUIDE/PRIVACY_POLICY.md
TASK_TRAVEL_PRIVACY_AUDIT_01,1,BLOCKED,REVIEWER,Validate privacy boundary and encrypted workflow,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md;projects/TRAVEL_GUIDE/PRIVATE_CONTEXT.enc.json;projects/TRAVEL_GUIDE/PRIVACY_POLICY.md,projects/TRAVEL_GUIDE/PRIVACY_AUDIT.md,TRAVEL_GUIDE,PLAN,privacy,PROJECT:TRAVEL_PRIVACY,S,REVIEW,HIGH,TG_W1,,Verify private fields never enter plaintext; verify AES-256-GCM; key stays out of repo; define ephemeral-decryption and chat-preview rules,PRIVACY_V1,Must pass before private-output tasks complete,4,M,python;git,projects/TRAVEL_GUIDE/PRIVACY_POLICY.md
TASK_TRAVEL_GEO_TRANSIT_01,2,BLOCKED,RESEARCHER,Research geography rail transfer and local movement,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md,TRAVEL_GUIDE,RESEARCH,transport,PROJECT:TRAVEL_GEO,M,STANDARD,LOW,TG_W2,,Map scenic geography; rail arrival; station transfers; walking distances; buffers; return contingencies; private exact origin/date only used transiently,TRAVEL_RESEARCH_V1,Use current authoritative transport sources where possible,3,M,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_HISTORY_CULTURE_01,2,BLOCKED,RESEARCHER,Research history culture and local customs,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md,TRAVEL_GUIDE,RESEARCH,culture,PROJECT:TRAVEL_CULTURE,M,STANDARD,LOW,TG_W2,,Cover geography; Li Bing; Fish Mouth; Feishayan; Baopingkou; Anlan Bridge; Guanxian old city; local customs; conversation-worthy stories,TRAVEL_RESEARCH_V1,Prefer official museum government UNESCO-quality sources; label legends,3,M,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_REVIEWS_01,2,BLOCKED,RESEARCHER,Analyze recent visitor reviews,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/RECENT_REVIEWS.md,TRAVEL_GUIDE,RESEARCH,reviews,PROJECT:TRAVEL_REVIEWS,M,STANDARD,LOW,TG_W2,,Analyze recent 2-3 year feedback; recurring praise; complaints; queues; fatigue; photo spots; food-area comments; first-timer mistakes; separate anecdotes from statistics,TRAVEL_RESEARCH_V1,No invented review percentages; document source bias,3,L,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_FOOD_01,2,BLOCKED,RESEARCHER,Research local food and practical meal choices,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/FOOD.md,TRAVEL_GUIDE,RESEARCH,food,PROJECT:TRAVEL_FOOD,M,STANDARD,LOW,TG_W2,,Research representative foods; snack areas; price bands; queue/time cost; shareability; comfortable low-mess choices for two people within budget,TRAVEL_RESEARCH_V1,Verify current merchant/menu evidence when available,3,M,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_ROUTE_PATTERNS_01,2,BLOCKED,RESEARCHER,Research one-day route patterns and pacing,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/ROUTE_PATTERNS.md,TRAVEL_GUIDE,RESEARCH,route,PROJECT:TRAVEL_ROUTE,M,STANDARD,LOW,TG_W2,,Compare common one-day routes; entry/exit direction; walking load; dwell times; old-city/evening combinations; weather/crowd resilience; conversational rest windows,TRAVEL_RESEARCH_V1,Use realistic buffers not optimistic minimums,3,M,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_NEWS_01,2,BLOCKED,RESEARCHER,Collect recent news events closures and service changes,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/RECENT_NEWS.md,TRAVEL_GUIDE,RESEARCH,news,PROJECT:TRAVEL_NEWS,M,STANDARD,MEDIUM,TG_W2,,Collect recent operations; events; construction; transport changes; crowd measures; night-view changes; safety notices; rank by relevance and freshness,TRAVEL_RESEARCH_V1,All time-sensitive claims need dates and sources,3,M,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_VISITOR_PROFILE_01,2,BLOCKED,RESEARCHER,Research visitor age structure and trip-purpose mix,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/VISITOR_PROFILE.md,TRAVEL_GUIDE,RESEARCH,visitor_data,PROJECT:TRAVEL_PROFILE,L,REVIEW,MEDIUM,TG_W2,,Find credible age and purpose proportions; record year sample method; if exact Dujiangyan data unavailable report gap and clearly labeled proxy instead of inventing figures,TRAVEL_RESEARCH_V1,Every statistical percentage must be traceable,4,L,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_SEASONAL_FLOW_01,2,BLOCKED,RESEARCHER,Research seasonal visitor volume weather and crowd patterns,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/SEASONAL_FLOW.md,TRAVEL_GUIDE,RESEARCH,seasonality,PROJECT:TRAVEL_SEASON,L,REVIEW,MEDIUM,TG_W2,,Analyze seasonal/monthly visitor signals; holidays vs normal weekends; September climate/rain/daylight; crowd by time; use actual counts where available and label inference,TRAVEL_RESEARCH_V1,Do not convert sparse holiday counts into unsupported monthly shares,4,L,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
