id,priority,status,role,title,deps,inputs,output,project_id,phase,workstream,exclusive_keys,size_class,quality_tier,risk_tier,wave_id,batch_hint,acceptance,compliance_profile,notes,min_capability_tier,context_class,tool_requirements,context_refs
TASK_TRAVEL_SPOT_DUJIANGYAN_STATION_01,2,READY,RESEARCHER,Deep dossier for Dujiangyan Station,,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md;projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md,projects/TRAVEL_GUIDE/research/book/spots/DUJIANGYAN_STATION.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_station,PROJECT:TRAVEL_DEPTH_STATION,M,STANDARD,LOW,TGD_W1,,Write 800-1500 Chinese characters; verify current name and AMap link; arrival transfer time; observation and fallback; recent feedback themes; dated sources,TRAVEL_RESEARCH_V2,Public evidence only,3,M,web,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_SPOT_GATE1_01,2,READY,RESEARCHER,Deep dossier for Scenic Area Gate 1,,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md;projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md,projects/TRAVEL_GUIDE/research/book/spots/GATE1.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_gate1,PROJECT:TRAVEL_DEPTH_GATE1,M,STANDARD,LOW,TGD_W1,,Verify current gate naming and access; AMap link; opening and entry workflow; toilets and service points; next-node times; dated sources,TRAVEL_RESEARCH_V2,Do not infer temporary access from old blogs,3,M,web,projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md
TASK_TRAVEL_SPOT_FULONG_01,2,READY,RESEARCHER,Deep dossier for Fulong Temple,,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/spots/FULONG.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_fulong,PROJECT:TRAVEL_DEPTH_FULONG,M,STANDARD,LOW,TGD_W1,,Cover historical significance; best observation position; suggested dwell; adjacent-node times; current opening signal; review themes; dated sources,TRAVEL_RESEARCH_V2,Separate stable history from dynamic opening data,3,M,web,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md
TASK_TRAVEL_SPOT_BAOPINGKOU_01,2,READY,RESEARCHER,Deep dossier for Baopingkou,,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/spots/BAOPINGKOU.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_baopingkou,PROJECT:TRAVEL_DEPTH_BAOPINGKOU,M,STANDARD,LOW,TGD_W1,,Explain hydraulic function; observation position; dwell; previous and next-node time range; crowd and rain fallback; AMap link; dated sources,TRAVEL_RESEARCH_V2,No fake precise hydraulic ratios,3,M,web,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md
TASK_TRAVEL_SPOT_FEISHAYAN_01,2,READY,RESEARCHER,Deep dossier for Feishayan,,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/spots/FEISHAYAN.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_feishayan,PROJECT:TRAVEL_DEPTH_FEISHAYAN,M,STANDARD,LOW,TGD_W1,,Explain overflow and sediment role; observation method; dwell; adjacent-node times; review themes; crowd and weather decision point; dated sources,TRAVEL_RESEARCH_V2,Distinguish engineering principle from tourist shorthand,3,M,web,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md
TASK_TRAVEL_SPOT_YUZUI_01,2,READY,RESEARCHER,Deep dossier for Yuzui,,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/spots/YUZUI.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_yuzui,PROJECT:TRAVEL_DEPTH_YUZUI,M,STANDARD,LOW,TGD_W1,,Explain flow division; best sight line; dwell; adjacent-node times; current opening signal; crowd and rain fallback; dated sources,TRAVEL_RESEARCH_V2,Do not present seasonal ratios as fixed law,3,M,web,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md
TASK_TRAVEL_SPOT_ANLAN_01,2,READY,RESEARCHER,Deep dossier for Anlan Bridge,,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/spots/ANLAN.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_anlan,PROJECT:TRAVEL_DEPTH_ANLAN,M,STANDARD,MEDIUM,TGD_W1,,Verify current bridge operation; modern reconstruction facts; dwell and queue cost; best view; rain and crowd skip rule; dated sources,TRAVEL_RESEARCH_V2,Do not claim original materials survive unchanged,3,M,web,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md
TASK_TRAVEL_SPOT_ERWANG_01,2,READY,RESEARCHER,Deep dossier for Erwang Temple,,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md;projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md,projects/TRAVEL_GUIDE/research/book/spots/ERWANG.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_erwang,PROJECT:TRAVEL_DEPTH_ERWANG,M,STANDARD,LOW,TGD_W1,,Cover maintenance culture and Li Bing memory; elevation cost; dwell; adjacent-node times; current opening signal; dated sources,TRAVEL_RESEARCH_V2,Label legends and later cultural layers,3,M,web,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md
TASK_TRAVEL_SPOT_QINYAN_01,2,READY,RESEARCHER,Deep dossier for Qinyan Tower and Gate 6,,projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md;projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md,projects/TRAVEL_GUIDE/research/book/spots/QINYAN.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_qinyan,PROJECT:TRAVEL_DEPTH_QINYAN,M,REVIEW,MEDIUM,TGD_W1,,Verify tower and Gate 6 as separate concepts; current access evidence; high-to-low route logic; dwell; closure fallback; dated sources,TRAVEL_RESEARCH_V2,Gate access is dynamic and requires source dates,4,L,web,projects/TRAVEL_GUIDE/MAP_VALIDATION_POLICY.md
TASK_TRAVEL_SPOT_OLDCITY_01,2,READY,RESEARCHER,Deep dossier for Guanxian Old City,,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md;projects/TRAVEL_GUIDE/research/FOOD.md,projects/TRAVEL_GUIDE/research/book/spots/GUANXIAN_OLD_CITY.md,TRAVEL_GUIDE_DEPTH,RESEARCH,spot_oldcity,PROJECT:TRAVEL_DEPTH_OLDCITY,M,STANDARD,LOW,TGD_W1,,Cover city-water relationship; useful streets and rest logic; dwell bands by scheme; commercialisation feedback; AMap link; dated sources,TRAVEL_RESEARCH_V2,Do not freeze changing merchants as permanent anchors,3,M,web,projects/TRAVEL_GUIDE/research/FOOD.md
