id,project_id,priority,role,title,effective_status,deps,output
TASK_QUICKBOARD_SPEC_01,QUICKBOARD,1,ARCHITECT,Define QuickBoard UX and file architecture,DONE,,projects/QUICKBOARD/SPEC.md
TASK_QUICKBOARD_LOGIC_01,QUICKBOARD,2,WORKER,Implement cards interactions and local persistence,DONE,TASK_QUICKBOARD_SPEC_01,projects/QUICKBOARD/app.js
TASK_QUICKBOARD_UI_01,QUICKBOARD,2,WORKER,Implement responsive QuickBoard interface,DONE,TASK_QUICKBOARD_SPEC_01,projects/QUICKBOARD/index.html;projects/QUICKBOARD/styles.css
TASK_QUICKBOARD_DOCS_01,QUICKBOARD,3,WORKER,Write QuickBoard usage and project documentation,DONE,TASK_QUICKBOARD_UI_01;TASK_QUICKBOARD_LOGIC_01,projects/QUICKBOARD/README.md
TASK_QUICKBOARD_REVIEW_01,QUICKBOARD,4,REVIEWER,Review QuickBoard and close pilot,DONE,TASK_QUICKBOARD_UI_01;TASK_QUICKBOARD_LOGIC_01;TASK_QUICKBOARD_DOCS_01,projects/QUICKBOARD/REVIEW.md
TASK_TRAVEL_GUIDE_INTAKE_01,TRAVEL_GUIDE,1,ARCHITECT,Formalize public requirements and encrypted private context,READY,,projects/TRAVEL_GUIDE/REQUIREMENTS_PUBLIC.md
TASK_TRAVEL_PRIVACY_AUDIT_01,TRAVEL_GUIDE,1,REVIEWER,Validate privacy boundary and encrypted workflow,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/PRIVACY_AUDIT.md
TASK_TRAVEL_COST_MODEL_01,TRAVEL_GUIDE,2,ANALYST,Build two-person one-day budget model,BLOCKED,TASK_TRAVEL_GEO_TRANSIT_01;TASK_TRAVEL_FOOD_01,projects/TRAVEL_GUIDE/research/BUDGET_MODEL.md
TASK_TRAVEL_FOOD_01,TRAVEL_GUIDE,2,RESEARCHER,Research local food and practical meal choices,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/FOOD.md
TASK_TRAVEL_GEO_TRANSIT_01,TRAVEL_GUIDE,2,RESEARCHER,Research geography rail transfer and local movement,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/GEO_TRANSIT.md
TASK_TRAVEL_GIFT_DESIGN_01,TRAVEL_GUIDE,2,PLANNER,Design gift options and low-pressure gifting moments,BLOCKED,TASK_TRAVEL_PRIVACY_AUDIT_01;TASK_TRAVEL_FOOD_01;TASK_TRAVEL_HISTORY_CULTURE_01,projects/TRAVEL_GUIDE/private/GIFT_DESIGN.md.enc
TASK_TRAVEL_HISTORY_CULTURE_01,TRAVEL_GUIDE,2,RESEARCHER,Research history culture and local customs,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/HISTORY_CULTURE.md
TASK_TRAVEL_INTERACTION_DESIGN_01,TRAVEL_GUIDE,2,PLANNER,Design low-pressure conversation pacing and topic bank,BLOCKED,TASK_TRAVEL_PRIVACY_AUDIT_01;TASK_TRAVEL_HISTORY_CULTURE_01;TASK_TRAVEL_ROUTE_PATTERNS_01,projects/TRAVEL_GUIDE/private/INTERACTION_DESIGN.md.enc
TASK_TRAVEL_NEWS_01,TRAVEL_GUIDE,2,RESEARCHER,Collect recent news events closures and service changes,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/RECENT_NEWS.md
TASK_TRAVEL_REVIEWS_01,TRAVEL_GUIDE,2,RESEARCHER,Analyze recent visitor reviews,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/RECENT_REVIEWS.md
TASK_TRAVEL_ROUTE_PATTERNS_01,TRAVEL_GUIDE,2,RESEARCHER,Research one-day route patterns and pacing,BLOCKED,TASK_TRAVEL_GUIDE_INTAKE_01,projects/TRAVEL_GUIDE/research/ROUTE_PATTERNS.md
